,Hastag,timestamp,positive,negative,medium
0,copamundialfifa,2009-04-23,0.26006696,0.07334632,0.6665867
1,qatar2022,2009-04-23,0.26006696,0.07334632,0.6665867
2,qatar2022,2017-05-11,0.02761153,0.17034268,0.8020459
3,iranusa,2017-05-11,0.02761153,0.17034268,0.8020459
4,mundialqatar2022,2019-09-13,0.16716258,0.05011766,0.78271973
5,méxico,2019-09-13,0.16716258,0.05011766,0.78271973
6,qatar2022,2019-09-13,0.16716258,0.05011766,0.78271973
7,qatar2022,2020-11-11,0.07762612,0.18233532,0.7400386
8,usmnt,2020-11-11,0.07762612,0.18233532,0.7400386
9,mundialqatar2022,2020-12-12,0.16716258,0.05011766,0.78271973
10,méxico,2020-12-12,0.16716258,0.05011766,0.78271973
11,qatar2022,2020-12-12,0.16716258,0.05011766,0.78271973
12,qatar2022,2021-09-21,0.16716258,0.05011766,0.78271973
13,mundialqatar2022,2021-09-21,0.16716258,0.05011766,0.78271973
14,méxico,2021-09-21,0.16716258,0.05011766,0.78271973
15,qatar2022,2022-02-01,0.04907888,0.06130721,0.88961387
16,qatar2022,2022-03-30,0.35926103,0.0091806159999999,0.63155836
17,qatar2022,2022-04-06,0.07289883,0.03620151,0.89089966
18,qatar2022,2022-04-23,0.04016889,0.2401561,0.719675
19,samuraiblue,2022-04-23,0.04016889,0.2401561,0.719675
20,qatarworldcup2022,2022-04-23,0.1604818,0.0062628,0.8332554
21,worldcup,2022-04-23,0.04016889,0.2401561,0.719675
22,qatar2022,2022-05-06,0.08602688,0.03447551,0.87949765
23,argentina,2022-05-06,0.08602688,0.03447551,0.87949765
24,fifa,2022-05-06,0.08602688,0.03447551,0.87949765
25,qatar,2022-06-02,0.03549474,0.14908145,0.8154238
26,iran,2022-06-02,0.03549474,0.14908145,0.8154238
27,china,2022-06-02,0.03549474,0.14908145,0.8154238
28,qatar2022,2022-06-02,0.03549474,0.14908145,0.8154238
29,qatar2022,2022-08-16,0.16716258,0.05011766,0.78271973
30,méxico,2022-08-16,0.16716258,0.05011766,0.78271973
31,mundialqatar2022,2022-08-16,0.16716258,0.05011766,0.78271973
32,mundialqatar2022,2022-08-17,0.16716258,0.05011766,0.78271973
33,qatar2022,2022-08-17,0.16716258,0.05011766,0.78271973
34,méxico,2022-08-17,0.16716258,0.05011766,0.78271973
35,qatarworldcup2022,2022-09-28,0.13890824,0.07755382,0.7835379
36,qatar2022,2022-09-28,0.13890824,0.07755382,0.7835379
37,fifaworldcup,2022-09-28,0.13890824,0.07755382,0.7835379
38,qatar2022,2022-09-29,0.23081222,0.0074947,0.76169306
39,mahsa_amini,2022-10-01,0.22472183,0.14243805,0.63284016
40,iran,2022-10-01,0.22472183,0.14243805,0.63284016
41,mundialqatar2022,2022-10-02,0.16716258,0.05011766,0.78271973
42,qatar2022,2022-10-02,0.16716258,0.05011766,0.78271973
43,méxico,2022-10-02,0.16716258,0.05011766,0.78271973
44,qatar2022,2022-10-09,0.88267225,0.00218229,0.11514543
45,football,2022-10-12,0.20180807,0.05513808,0.7430538
46,worldcupqatar2022,2022-10-12,0.20180807,0.05513808,0.7430538
47,qatar2022,2022-10-12,0.20180807,0.05513808,0.7430538
48,qatar2022,2022-10-17,0.0348136875,0.1261953975,0.838990865
